Yt,Xt
30.2,55.789948
28.2,54.93164
26.6,54.64554
25,55.07469
26,55.789948
26,56.505203
26,55.789948
24,52.928925
23,50.0679
24,51.498413
25,53.64418
26,55.789948
27,59.366226
29,62.22725
29,62.942505
29,62.942505
29,62.22725
28,60.796738
27,59.366226
27,58.65097
27,58.65097
27,57.935715
27,57.935715
27,58.65097
27,59.366226
28,61.511993
29,63.65776
31,66.51878
31,67.949295
32,68.66455
32,68.66455
31,67.23404
31,66.51878
30,65.80353
30,64.37302
29,62.22725
27,59.366226
26,56.505203
25,55.07469
25,53.64418
24,52.928925
24,52.928925
25,53.64418
25,53.64418
25,54.359436
26,55.789948
26,57.22046
27,57.935715
27,58.65097
27,58.65097
27,59.366226
28,60.081482
28,60.081482
27,59.366226
27,58.65097
26,57.22046
25,54.359436
23,50.783157
22,47.922134
21,45.41874
20,43.988228
19,41.84246
19,41.484833
20,43.272972
21,45.41874
21,45.41874
21,45.41874
22,47.20688
24,52.21367
26,56.505203
27,59.366226
28,60.796738
