Tanggal,Harga_Mingguan
"Friday, January 12, 2007",3.379286
"Friday, January 19, 2007",3.160714
"Friday, January 26, 2007",3.049286
"Friday, February 2, 2007",3.026786
"Friday, February 9, 2007",2.973929
"Friday, February 16, 2007",3.029643
"Friday, February 23, 2007",3.181071
"Friday, March 2, 2007",3.050357
"Friday, March 9, 2007",3.141786
"Friday, March 16, 2007",3.199643
"Friday, March 23, 2007",3.34
"Friday, March 30, 2007",3.318214
"Thursday, April 5, 2007",3.381429
"Friday, April 13, 2007",3.222857
"Friday, April 20, 2007",3.248929
"Friday, April 27, 2007",3.568571
"Friday, May 4, 2007",3.600357
"Friday, May 11, 2007",3.883571
"Friday, May 18, 2007",3.929286
"Friday, May 25, 2007",4.057857
"Friday, June 1, 2007",4.228571
"Friday, June 8, 2007",4.446071
"Friday, June 15, 2007",4.303571
"Friday, June 22, 2007",4.392857
"Friday, June 29, 2007",4.358571
"Friday, July 6, 2007",4.725
"Friday, July 13, 2007",4.918929
"Friday, July 20, 2007",5.133929
"Friday, July 27, 2007",5.1375
"Friday, August 3, 2007",4.708929
"Friday, August 10, 2007",4.464286
"Friday, August 17, 2007",4.359286
"Friday, August 24, 2007",4.832143
"Friday, August 31, 2007",4.945714
"Friday, September 7, 2007",4.706071
"Friday, September 14, 2007",4.9575
"Friday, September 21, 2007",5.148214
"Friday, September 28, 2007",5.481071
"Friday, October 5, 2007",5.766071
"Friday, October 12, 2007",5.973214
"Friday, October 19, 2007",6.086429
"Friday, October 26, 2007",6.596429
"Friday, November 2, 2007",6.709643
"Friday, November 9, 2007",5.906071
"Friday, November 16, 2007",5.9425
"Friday, November 23, 2007",6.126429
"Friday, November 30, 2007",6.507857
"Friday, December 7, 2007",6.939286
"Friday, December 14, 2007",6.799643
"Friday, December 21, 2007",6.925357
"Friday, December 28, 2007",7.136786
"Friday, January 4, 2008",6.430357
"Friday, January 11, 2008",6.1675
"Friday, January 18, 2008",5.762857
"Friday, January 25, 2008",4.643214
"Friday, February 1, 2008",4.776786
"Friday, February 8, 2008",4.481429
"Friday, February 15, 2008",4.451071
"Friday, February 22, 2008",4.266429
"Friday, February 29, 2008",4.465
"Friday, March 7, 2008",4.366071
"Friday, March 14, 2008",4.521786
"Thursday, March 20, 2008",4.759643
"Friday, March 28, 2008",5.1075
"Friday, April 4, 2008",5.467143
"Friday, April 11, 2008",5.255
"Friday, April 18, 2008",5.751429
"Friday, April 25, 2008",6.061786
"Friday, May 2, 2008",6.462143
"Friday, May 9, 2008",6.551786
"Friday, May 16, 2008",6.700714
"Friday, May 23, 2008",6.470357
"Friday, May 30, 2008",6.741071
"Friday, June 6, 2008",6.63
"Friday, June 13, 2008",6.156071
"Friday, June 20, 2008",6.259643
"Friday, June 27, 2008",6.074643
"Thursday, July 3, 2008",6.075714
"Friday, July 11, 2008",6.163571
"Friday, July 18, 2008",5.898214
"Friday, July 25, 2008",5.79
"Friday, August 1, 2008",5.595
"Friday, August 8, 2008",6.055357
"Friday, August 15, 2008",6.276429
"Friday, August 22, 2008",6.313929
"Friday, August 29, 2008",6.054643
"Friday, September 5, 2008",5.720714
"Friday, September 12, 2008",5.319286
"Friday, September 19, 2008",5.0325
"Friday, September 26, 2008",4.58
"Friday, October 3, 2008",3.466786
"Friday, October 10, 2008",3.457143
"Friday, October 17, 2008",3.478571
"Friday, October 24, 2008",3.442143
"Friday, October 31, 2008",3.8425
"Friday, November 7, 2008",3.508571
"Friday, November 14, 2008",3.222857
"Friday, November 21, 2008",2.949286
"Friday, November 28, 2008",3.309643
"Friday, December 5, 2008",3.357143
"Friday, December 12, 2008",3.509643
"Friday, December 19, 2008",3.214286
"Friday, December 26, 2008",3.064643
"Friday, January 2, 2009",3.241071
"Friday, January 9, 2009",3.235
"Friday, January 16, 2009",2.940357
"Friday, January 23, 2009",3.155714
"Friday, January 30, 2009",3.218929
"Friday, February 6, 2009",3.561429
"Friday, February 13, 2009",3.541429
"Friday, February 20, 2009",3.257143
"Friday, February 27, 2009",3.189643
"Friday, March 6, 2009",3.046429
"Friday, March 13, 2009",3.426071
"Friday, March 20, 2009",3.628214
"Friday, March 27, 2009",3.816071
"Friday, April 3, 2009",4.1425
"Thursday, April 9, 2009",4.270357
"Friday, April 17, 2009",4.407857
"Friday, April 24, 2009",4.425
"Friday, May 1, 2009",4.544286
"Friday, May 8, 2009",4.613929
"Friday, May 15, 2009",4.372143
"Friday, May 22, 2009",4.375
"Friday, May 29, 2009",4.850357
"Friday, June 5, 2009",5.166786
"Friday, June 12, 2009",4.891786
"Friday, June 19, 2009",4.981429
"Friday, June 26, 2009",5.087143
"Thursday, July 2, 2009",5.000714
"Friday, July 10, 2009",4.947143
"Friday, July 17, 2009",5.419643
"Friday, July 24, 2009",5.713929
"Friday, July 31, 2009",5.835357
"Friday, August 7, 2009",5.911071
"Friday, August 14, 2009",5.956429
"Friday, August 21, 2009",6.043571
"Friday, August 28, 2009",6.073214
"Friday, September 4, 2009",6.0825
"Friday, September 11, 2009",6.148571
